Thu, 27 Nov 14 20:34:46 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:34:46 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:34:46 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:35:06 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:35:06 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:35:06 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:35:26 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:35:26 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:35:26 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:35:46 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:35:46 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:35:46 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:36:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:36:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:36:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:36:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:36:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:36:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:36:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:36:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:36:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:37:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:37:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:37:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:37:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:37:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:37:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:37:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:37:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:37:47 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:38:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:38:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
Thu, 27 Nov 14 20:38:07 -0500 | write_tweets.php -> select | Table '140dev.tweets_urls' doesn't exist | DELETE FROM tweets_urls
Thu, 27 Nov 14 20:38:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_mentions' doesn't exist | DELETE FROM tweets_mentions
Thu, 27 Nov 14 20:38:27 -0500 | write_tweets.php -> select | Table '140dev.tweets_tags' doesn't exist | DELETE FROM tweets_tags
